iter	RMSE
0	0.2890436865
1	0.2890152503
2	0.2889815617
3	0.2889544991
4	0.288915835
5	0.2888755474
6	0.2888437998
7	0.288802813
8	0.2887661794
9	0.2887384525
10	0.2887077222
11	0.2886699827
12	0.2886338648
13	0.2886022701
14	0.2885729985
15	0.2885509399
16	0.2885076538
17	0.2884699844
18	0.2884384418
19	0.2884047559
20	0.2883652187
21	0.2883271898
22	0.2883094859
23	0.2882886159
24	0.2882591227
25	0.2882222668
26	0.2881786592
27	0.288144226
28	0.288104098
29	0.2880803303
30	0.2880553606
31	0.2880101906
32	0.2879779431
33	0.2879389043
34	0.287911592
35	0.2878710956
36	0.2878372151
37	0.2877998663
38	0.2877687199
39	0.2877179613
40	0.2876818834
41	0.2876602137
42	0.2876307155
43	0.287599547
44	0.2875659045
45	0.2875331358
46	0.2875048096
47	0.2874814904
48	0.2874502329
49	0.2874237782
50	0.2873888381
51	0.2873588114
52	0.2873271198
53	0.28730225
54	0.2872741407
55	0.2872454095
56	0.2872196402
57	0.2871892759
58	0.2871563019
59	0.2871203638
60	0.2870980938
61	0.2870644196
62	0.2870413477
63	0.2870072465
64	0.2869832257
65	0.2869481999
66	0.2869221406
67	0.2869065598
68	0.2868785102
69	0.2868412816
70	0.2868210368
71	0.2867889908
72	0.2867657094
73	0.2867418557
74	0.2867184156
75	0.2866849657
76	0.286662371
77	0.2866400665
78	0.2865911046
79	0.2865736373
80	0.2865463687
81	0.2865206825
82	0.2864972169
83	0.2864590303
84	0.2864309555
85	0.2864098978
86	0.2863794639
87	0.2863470978
88	0.2863150387
89	0.2862955858
90	0.2862670192
91	0.2862283109
92	0.2861989058
93	0.286177265
94	0.2861508141
95	0.2861306886
96	0.2860957737
97	0.2860645764
98	0.2860391022
99	0.2860132899
100	0.285983496
101	0.2859647779
102	0.2859381027
103	0.2859080125
104	0.2858882655
105	0.2858581231
106	0.2858234111
107	0.2857944166
108	0.2857673677
109	0.2857345491
110	0.2857134584
111	0.2856929013
112	0.2856609928
113	0.2856315558
114	0.2856026031
